Stany magazynowe towarów: na dzień 2026-09-07, jednostka dodatkowa2	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
01S01/01		Kod zerowy.		szt		0	0,00	0,00		
03S01/02		Sklejka liściasta suchotrwała 3x1525x1525 B/B		m3		0	0,00	0,00		
03S02/02		Sklejka liściasta suchotrwała 3x1525x1525 B/BB		m3		0	0,00	0,00		
03S04/02		Sklejka liściasta suchotrwała 3x1525x1525 BB/BB		m3		0	0,00	0,00		
03S04/02 Laser		Sklejka liściasta suchotrwała 3x1525x1525 BB/BB do cięcia laserem		m3		0	0,00	0,00		
03S05/02		Sklejka liściasta suchotrwała 3x1525x1525 BB/CP		m3		0	0,00	0,02		
03S07/02		Sklejka liściasta suchotrwała 3x1525x1525 CP/CP		m3		0	0,00	0,00		
03S10/02		Sklejka liściasta suchotrwała 3x1525x1525 C/C		m3		0	0,00	0,00		
03S18/02		Sklejka liściasta suchotrwała 3x1525x1525 CP/C		m3		0	0,00	0,00		
03S22/02		Sklejka liściasta suchotrwała 3x1525x1525 BB/C		m3		0	0,00	0,00		
03S22/43		Sklejka liściasta suchotrwała 3x1525x1475 BB/C		m3		0	0,00	0,00		
04S02/02		Sklejka liściasta suchotrwała 4x1525x1525 B/BB		m3		0	0,00	0,00		
04S04/02		Sklejka liściasta suchotrwała 4x1525x1525 BB/BB		m3		0	0,00	0,00		
04S04/04 E		Sklejka liściasta wodoodporna 4x2440x1220 BB/BB		m3		1,786	9531,43	17023,13		
04S04/05 E		Sklejka liściasta wodoodporna 4x1250x2500 BB/BB		m3		1,2484	8437,44	10532,97		
04S04/06 E		Sklejka liściasta wodoodporna 4x2500x1250 BB/BB		m3		0	0,00	0,00		
04S04/11 E		Sklejka liściasta wodoodporna 4x1525x3050 BB/BB		m3		0,521	9441,38	4918,96		
04S04/12 E		Sklejka liściasta wodoodporna 4x1500x3000 BB/BB		m3		0	0,00	0,00		
04S05/02		Sklejka liściasta suchotrwała 4x1525x1525 BB/CP		m3		0	0,00	0,04		
04S05/04 E		Sklejka liściasta wodoodporna 4x2440x1220 BB/CP		m3		0	0,00	0,00		
04S05/05 BX		Sklejka iglasta wodoodporna 4x1250x2500mm		m3		0	0,00	0,00		
04S05/05 E		Sklejka liściasta wodoodporna 4x1250x2500 BB/CP		m3		5,862	5750,00	33706,28		
04S05/06 E		Sklejka liściasta wodoodporna 4x2500x1250 BB/CP		m3		26,1435	6200,00	162089,79		
04S05/06 E BX		Sklejka iglasta wodoodporna 4x2500x1250 BX		m3		0	0,00	0,00		
04S05/11 E		Sklejka liściasta wodoodporna 4x1525x3050 BB/CP		m3		5,768	7220,00	41644,96		
04S05/12 E		Sklejka liściasta wodoodporna 4x1500x3000 BB/CP		m3		0	0,00	0,00		
04S05/12 E EUK		Sklejka liściasta 4x1500x3000 BB/CP		m3		0	0,00	0,00		
04S06/05 E		Sklejka liściasta wodoodporna 4x1250x2500 BB/WG		m3		4,775	8581,79	40978,06		
04S06/06 E		Sklejka liściasta wodoodporna 4x2500x1250 BB/WG		m3		1,875	8541,03	16014,43		
04S06/11 E		Sklejka liściasta wodoodporna 4x1525x3050 BB/WG		m3		0	0,00	0,00		
04S06/12 E		Sklejka liściasta wodoodporna 4x1500x3000 BB/WG		m3		2,7	9554,39	25796,84		
04S07/02		Sklejka liściasta suchotrwała 4x1525x1525 CP/CP		m3		0	0,00	0,11		
04S07/03 E		Sklejka liściasta wodoodporna 4x1220x2440 CP/CP		m3		0	0,00	0,00		
04S07/04 E		Sklejka liściasta wodoodporna 4x2440x1220 CP/CP		m3		0	0,00	0,00		
04S07/05 E		Sklejka liściasta wodoodporna 4x1250x2500 CP/CP		m3		0	0,00	0,00		
04S07/06 E		Sklejka liściasta wodoodporna 4x2500x1250 CP/CP		m3		0	0,00	0,00		
04S07/11 E		Sklejka liściasta wodoodporna 4x1525x3050 CP/CP		m3		0	0,00	0,00		
04S07/12 E		Sklejka liściasta wodoodporna 4x1500x3000 CP/CP		m3		0	0,00	0,00		
04S09/03 E		Sklejka liściasta wodoodporna 4x1220x2440 WG/WG		m3		0,4739	6615,77	3135,37		
04S09/05 E		Sklejka liściasta wodoodporna 4x1250x2500 WG/WG		m3		0	0,00	0,00		
04S09/06 E		Sklejka liściasta wodoodporna 4x2500x1250 WG/WG		m3		0	0,00	0,00		
04S09/07 E		Sklejka liściasta wodoodporna 4x1500x2500 WG/WG		m3		0	0,00	0,00		
04S09/11 E		Sklejka liściasta wodoodporna 4x1525x3050 WG/WG		m3		2,996	7483,75	22421,02		
04S09/12 E		Sklejka liściasta wodoodporna 4x1500x3000 WG/WG		m3		0	0,00	0,00		
04S09/60 E		Sklejka liściasta wodoodporna 4x1250x2750 WG/WG		m3		0	0,00	0,00		
04S10/02		Sklejka liściasta suchotrwała 4x1525x1525 C/C		m3		0	0,00	0,00		
